video_id,paths,w x h,frames,fps,caption_movi
video288,video288.mp4,320_240,450.0,29.97002997002997,a blocky video game character shoots arrows and points a sword at zombies in a wooded area
video5504,video5504.mp4,320_240,312.0,24.0,a beautiful girl talks to the webcam
video2752,video2752.mp4,320_240,330.0,29.97002997002997,a group of children are learning a school lesson
video1440,video1440.mp4,320_240,264.0,23.976023976023978,a green piece of paper is being folded
video2336,video2336.mp4,320_240,569.0,29.916666666666668,a group of men discussing athletes and an upcoming game
video768,video768.mp4,320_240,539.0,29.97002997002997,a group of men speak to a man for an interview
video512,video512.mp4,320_240,288.0,23.976023976023978,a group of kids dancing to a parody of the song watch me
video2880,video2880.mp4,320_240,312.0,23.976023976023978,a girl is talking about beauty product
video2656,video2656.mp4,320_240,275.0,25.0,a girls slices pieces of bread with a knife
video1792,video1792.mp4,320_240,330.0,30.0,a guy drinking coffee
video5088,video5088.mp4,320_240,384.0,23.976023976023978,a guy explains the rules to becoming president
video992,video992.mp4,320_240,240.0,23.976023976023978,a group of people are bringing baskets to church to be blessed
video2464,video2464.mp4,320_240,360.0,29.97002997002997,a group plays and discusses a video game
video6304,video6304.mp4,320_240,450.0,29.97002997002997,a group of soldiers walking up a set of stairs
video4576,video4576.mp4,320_240,325.0,25.0,a group of soldiers and government officials having a meeting
video1024,video1024.mp4,320_240,330.0,29.97002997002997,a group of people s reactions while they watch clips of various sport videos
video32,video32.mp4,320_240,275.0,25.0,a futuristic woman gets ready to emerge
video1408,video1408.mp4,320_240,660.0,29.97002997002997,a football player with a football
video1344,video1344.mp4,320_240,300.0,25.0,a foreign officer talks next to a car
video4992,video4992.mp4,320_240,330.0,30.0,a game character running with a pick axe
video4224,video4224.mp4,320_240,250.0,25.0,a female singer in full spirit
video2304,video2304.mp4,320_240,312.0,23.976023976023978,a food item a woman is trying to turn into ice cream sandwiches
video2688,video2688.mp4,320_240,390.0,30.0,a first person shooter
video4736,video4736.mp4,320_240,325.0,25.0,a girl is dancing in a swimming pool
video736,video736.mp4,320_240,360.0,29.97002997002997,a girl and boy are sharing their experience
video5696,video5696.mp4,320_240,180.0,15.0,a gamer is playing minecraft
video1088,video1088.mp4,320_240,300.0,29.97002997002997,a girl and a boy riding on horses
video3168,video3168.mp4,320_240,240.0,24.0,a girl got tensed and anger
video3520,video3520.mp4,320_240,420.0,29.97002997002997,a girl doing physical exercise
video4640,video4640.mp4,320_240,360.0,15.0,a girl daydreaming about being with the boy a the movies
video4000,video4000.mp4,320_240,360.0,29.97002997002997,a girl did her nails
video2016,video2016.mp4,320_240,330.0,30.0,a guy showing some tips on a movie website
video224,video224.mp4,320_240,330.0,29.97002997002997,a man is playing a video game which involves shooting with a bow
video1984,video1984.mp4,320_240,330.0,30.0,a man is playing a video game and commentating
video3136,video3136.mp4,320_240,288.0,23.976023976023978,a person pours some food into a pie crust
video5760,video5760.mp4,320_240,900.0,29.97002997002997,a scene in a wrestling video game
video1216,video1216.mp4,320_240,275.0,25.0,a person is giving some lecture
video896,video896.mp4,320_240,780.0,29.97002997002997,a man shows how to fold a piece of origami
video4032,video4032.mp4,320_240,330.0,29.97002997002997,a mountain top and then lake is shown
video3392,video3392.mp4,320_240,480.0,30.0,a montage of mopeds
video4128,video4128.mp4,320_240,300.0,30.0,a new car on the road
video960,video960.mp4,320_240,240.0,23.976023976023978,a lady folding a stroller up
video5792,video5792.mp4,320_240,350.0,25.0,a hardware machine is been showed
video4960,video4960.mp4,320_240,359.0,29.97002997002997,a hand plays a piano
video3008,video3008.mp4,320_240,390.0,29.97002997002997,a hand is snapping
video3584,video3584.mp4,320_240,480.0,29.97002997002997,a man adds a tail to a paper airplane
video3744,video3744.mp4,320_240,575.0,25.0,a male looking at documents when the phone rings
video4800,video4800.mp4,320_240,250.0,25.0,a male giving a view of his new car along with a review
video2528,video2528.mp4,320_240,330.0,29.97002997002997,a man and a woman are laying down together
video5440,video5440.mp4,320_240,330.0,29.97002997002997,a man and a woman are doing an interview about a movie
video3360,video3360.mp4,320_240,650.0,25.0,a man cutting potatoes
video96,video96.mp4,320_240,420.0,30.0,a cellphone s apps are being scrolled page by page
video1056,video1056.mp4,320_240,250.0,25.0,a celebrate is saying something in another language
video5408,video5408.mp4,320_240,750.0,30.0,a ceiling light shines over some plants
video4160,video4160.mp4,320_240,390.0,29.97002997002997,a cartoon journalist is talking to a microphone
video5984,video5984.mp4,320_240,360.0,29.97002997002997,a cartoon of minecraft characters drinking
video5664,video5664.mp4,320_240,540.0,29.97002997002997,a cartoon involving animals
video64,video64.mp4,320_240,300.0,30.0,a clip about metal assembly
video6400,video6400.mp4,320_240,660.0,29.97002997002997,a clip about crops being contaminated in ireland
video4352,video4352.mp4,320_240,690.0,30.0,a children s nightmare shows off his moves against women
video4512,video4512.mp4,320_240,264.0,23.976023976023978,a chilly pepper advertisement
video2816,video2816.mp4,320_240,350.0,25.0,a clip from a movie is playing
video1312,video1312.mp4,320_240,287.0,23.976023976023978,a clip from a movie is playing
video416,video416.mp4,320_240,449.0,29.916666666666668,a clip counts down the best moments of the dallas cowboys
video5024,video5024.mp4,320_240,330.0,30.0,a child is assembling loge pieces
video320,video320.mp4,320_240,165.0,15.0,a child holds a bear and shakes it
video3424,video3424.mp4,320_240,275.0,25.0,a child preforms a song on stage
video6432,video6432.mp4,320_240,300.0,30.0,a car driving down a busy street
video3232,video3232.mp4,320_240,240.0,24.0,a cannon is shooting at a plane in minecraft
video2848,video2848.mp4,320_240,275.0,25.0,a car goes down a street
video576,video576.mp4,320_240,360.0,29.97002997002997,a car game being played with commentary
video1568,video1568.mp4,320_240,540.0,29.97002997002997,a busy street scene where people are walking and a man talking at the end
video1728,video1728.mp4,320_240,540.0,29.97002997002997,a camera shows getting to a music video on youtuber
video1952,video1952.mp4,320_240,325.0,25.0,a bustling city and its architecture is being shown on tv
video160,video160.mp4,320_240,312.0,23.976023976023978,a bunny ate the cookie
video5728,video5728.mp4,320_240,300.0,29.97002997002997,a cartoon character menaces another pressed against a tree
video2784,video2784.mp4,320_240,438.0,29.145,a cartoon character presses a button on another s shirt
video3776,video3776.mp4,320_240,330.0,30.0,a cartoon clip is being played
video1920,video1920.mp4,320_240,264.0,24.0,a cartoon child is lifted into the air by a star
video4672,video4672.mp4,320_240,300.0,25.0,a cartoon depicts a man speaking to a frightening shadowy figure
video800,video800.mp4,320_240,264.0,24.0,a cartoon about barbie
video4864,video4864.mp4,320_240,360.0,30.0,a card is being cut out in a video game
video0,video0.mp4,320_240,300.0,25.0,a car is shown
video6208,video6208.mp4,320_240,330.0,29.97002997002997,a crying girl talks to judges
video3616,video3616.mp4,320_240,600.0,29.97002997002997,a curious skunk wanders around a home
video4832,video4832.mp4,320_240,330.0,29.97002997002997,a cut scene from a movie
video6240,video6240.mp4,320_240,264.0,23.976023976023978,a family is experimenting with corn starch and having fun
video3936,video3936.mp4,320_240,329.0,29.97002997002997,a female looking through her purse
video6144,video6144.mp4,320_240,360.0,29.97002997002997,a famous wrestler takes the cage
video3904,video3904.mp4,320_240,475.0,25.0,a demonstration is made of a flying toy
video5120,video5120.mp4,320_240,300.0,29.97002997002997,a description of all the modifications done to a sports bike
video384,video384.mp4,320_240,264.0,23.976023976023978,a darkly lit room is shown with scary characters randomly appearing
video5824,video5824.mp4,320_240,275.0,25.0,a clip of men playing soccer
video2592,video2592.mp4,320_240,360.0,30.0,a clip of people playing basketball
video608,video608.mp4,320_240,390.0,29.97002997002997,a clip of politicians on a late night talk show
video5472,video5472.mp4,320_240,264.0,24.0,a clip from pokemon in japanese
video128,video128.mp4,320_240,390.0,29.97002997002997,a clip from the game mortal kombat
video832,video832.mp4,320_240,420.0,29.97002997002997,a clip from a tv show is showing
video1888,video1888.mp4,320_240,264.0,23.976023976023978,a clip from a vice news story
video2272,video2272.mp4,320_240,312.0,23.976023976023978,a clip from vice news
video4416,video4416.mp4,320_240,330.0,30.0,a clip is showed from youtuber
video5632,video5632.mp4,320_240,240.0,24.0,a commercial for a show movie talking about the path to 9 11
video3680,video3680.mp4,320_240,300.0,29.97002997002997,a computer video game
video4544,video4544.mp4,320_240,275.0,25.0,a comedian dances on the stage
video6176,video6176.mp4,320_240,264.0,23.976023976023978,a bunch of cheerleaders are cheerleading at a game
video4064,video4064.mp4,320_240,300.0,29.97002997002997,a comedian tells a story on stage
video5952,video5952.mp4,320_240,480.0,23.976023976023978,a girl in a short romper is talking to a guy in a white car on the street
video4928,video4928.mp4,320_240,390.0,29.97002997002997,a family having their dinner together in a dining room
video5056,video5056.mp4,320_240,750.0,29.97002997002997,newborn babies lie in incubators while nurses take care of them
video352,video352.mp4,320_240,630.0,29.97002997002997,a britney spears music video with spanish subtitles with her and her dancers all dressed in white on
video4480,video4480.mp4,320_240,630.0,29.97,a girl in a studio is demonstrating the nyx hd studio photogenic powder with sonia kashmir brush stating
video192,video192.mp4,320_240,300.0,29.97002997002997,a man in black shirt is busy preparing something
video5312,video5312.mp4,320_240,480.0,29.97002997002997,a boy in black t shirt talking with a man in jacket
video4192,video4192.mp4,320_240,575.0,25.0,a man in blue shirt expressing his experience about the black car lamborghini
video5568,video5568.mp4,320_240,675.0,25.0,a sauce is poured over an octopus who then writhes in agony
video3200,video3200.mp4,320_240,330.0,30.0,a video showing various outdoor activities for tourist including cooking good food on wood fire
video2432,video2432.mp4,320_240,312.0,23.976023976023978,a woman is talking about a facial care product while applying it
video2048,video2048.mp4,320_240,690.0,29.97002997002997,men are in a shop arguing about a device that one of them is using
video1280,video1280.mp4,320_240,570.0,29.97002997002997,a man is standing on a car at a car tv show
video928,video928.mp4,320_240,312.0,23.976023976023978,the girl in the black dress talk with her friends in the party hall
video6272,video6272.mp4,320_240,630.0,29.97002997002997,a small halloween pumpking toy a hampster rides on a wheel
video3040,video3040.mp4,320_240,390.0,29.97002997002997,a big man in a white shirts assaulting a younger woman
video1856,video1856.mp4,320_240,450.0,29.97002997002997,the man in black dress standing outside area and play the guitar well
video4608,video4608.mp4,320_240,400.0,25.0,there is a street a man is wandering through that
video3456,video3456.mp4,320_240,275.0,25.0,all persons are singing and dancing in a show
video1184,video1184.mp4,320_240,475.0,25.0,a man is sleeping with a women and women wakes up seeing her man still asleep
video544,video544.mp4,320_240,264.0,23.976023976023978,a genie pops out of a lamp and jumps all around and pats the finder of the lamp
video6080,video6080.mp4,320_240,780.0,29.969,a man gets ready to prepare food is talking to another person here
video6048,video6048.mp4,320_240,780.0,29.97002997002997,a women in brown dress is reading book as a man walks in to join her
video5536,video5536.mp4,320_240,672.0,23.976023976023978,a bike rider is moving fast in a plain empty road
video5888,video5888.mp4,320_240,540.0,29.97002997002997,a bowl of marinade a plate of beef steak cubes and a wok of boiling water are needed
video5248,video5248.mp4,320_240,510.0,29.97002997002997,a man is showing ingredients which are placed in table
video6336,video6336.mp4,320_240,570.0,30.0,some one in a kitchen preparing some dish in a pan
video640,video640.mp4,320_240,330.0,29.97002997002997,a kid practicing hit a tennis ball on court
video6016,video6016.mp4,320_240,750.0,29.97002997002997,a person showing various cabinets in kitchen including one with a microwave
video3488,video3488.mp4,320_240,600.0,29.97002997002997,a woman with blonde hair describes diversity in hollywood behind pictures of will smith and other actors of
video5216,video5216.mp4,320_240,425.0,25.0,country music playing and showing luxurious houses on the beach
video4096,video4096.mp4,320_240,300.0,29.97002997002997,two big alpacas standing in front of a house
video5600,video5600.mp4,320_240,840.0,29.97002997002997,in the kitchen with someone talking about how to use a pot strainer
video4384,video4384.mp4,320_240,690.0,29.97,a female reporter talks about a muslim leader who is trying to battle radicalism
video3264,video3264.mp4,320_240,240.0,23.976023976023978,a black dressing woman is walking nearby a man
video5376,video5376.mp4,320_240,720.0,30.0,a person speaking on a news channel with other people
video1696,video1696.mp4,320_240,475.0,25.0,a man in black glasses and a tan shirt sits in a forest
video3872,video3872.mp4,320_240,275.0,25.0,two men compete in a game of table tennis by vigorously volleying the ping pong ball over the
video3104,video3104.mp4,320_240,510.0,29.97002997002997,two asian girls ask funny questions to viewers in their audience
video1120,video1120.mp4,320_240,408.0,23.976023976023978,a man in blue stripes t shirt is saying something and many people are sleeping together
video4320,video4320.mp4,320_240,390.0,29.97002997002997,an asian woman is visiting another woman to help her prepare an oriental dish
video3712,video3712.mp4,320_240,390.0,29.97002997002997,a scene of three people on a roller coaster midway through the video they are seen in different
video6464,video6464.mp4,320_240,300.0,25.0,there is a lean fashionable lady walking through the ramp
video1248,video1248.mp4,320_240,300.0,29.97002997002997,an indian man cries to a music video on tv
video448,video448.mp4,320_240,480.0,29.97002997002997,this is an advertisement showing that admirals galley which is one of the best buffet restaurant and the
video2208,video2208.mp4,320_240,300.0,29.97002997002997,a person playing a shooting video game with adult language subtitles
video5280,video5280.mp4,320_240,264.0,23.976023976023978,a small molecule transmits energy from one area to another
video3808,video3808.mp4,320_240,240.0,23.976023976023978,a teacher telling about stage 2 calvin cycle carbon fixation and enzymes in the lecture
video2240,video2240.mp4,320_240,630.0,29.97002997002997,there is a man is throwing a ball
video3840,video3840.mp4,320_240,390.0,30.0,in a kitchen a woman is making a chicken recipe
video5920,video5920.mp4,320_240,780.0,29.97002997002997,a man is sitting back in a cycle and riding into the house
video3296,video3296.mp4,320_240,600.0,29.97002997002997,a fruit gelatin salad is draped with black fondant to make it look like a jack o lantern
video2176,video2176.mp4,320_240,630.0,29.97002997002997,a crowd of reporters come around a man in a white suit who appears on television
video2144,video2144.mp4,320_240,450.0,25.0,a man in brown over coat is talking to somebody here
video5184,video5184.mp4,320_240,480.0,23.976023976023978,a flight attendant and two children show how to apply emergency oxygen on a plan to children
video2720,video2720.mp4,320_240,240.0,24.0,a shiny red lamborghini sits in the parking lot in front of a business
video2368,video2368.mp4,320_240,700.0,25.0,the man in white blazer driving the car and trip with other two persons
video6496,video6496.mp4,320_240,552.0,23.976023976023978,john green sits next to a globe and discusses how the united states acquired the states of california
video1536,video1536.mp4,320_240,650.0,25.0,two extremely talented athletes are vying for the win in a table tennis match
video1504,video1504.mp4,320_240,525.0,25.0,an orange and blue fish swims with white and red fish and a gold fish
video4288,video4288.mp4,320_240,390.0,29.97002997002997,video description about the fish feed something in the water
video6112,video6112.mp4,320_240,330.0,29.97002997002997,a man in a black suit discusses election with a man appearing on a tv screen
video4704,video4704.mp4,320_240,600.0,25.0,there is a black t shirt man is talking from a office
video2912,video2912.mp4,320_240,300.0,29.97002997002997,there is a white kitchen drawer on the floor
video1824,video1824.mp4,320_240,510.0,29.97002997002997,a group of seven men are talking about trading bits
video6688,video6688.mp4,320_240,510.0,29.97002997002997,a bone spur is shown being drilled
video6816,video6816.mp4,320_240,300.0,29.97002997002997,a bartender is preparing alcoholic drinks
video6976,video6976.mp4,320_240,300.0,29.97002997002997,a band is performing a song
video6880,video6880.mp4,320_240,336.0,24.0,a bearded man giving a ted talk
video6592,video6592.mp4,320_240,275.0,25.0,a beer commercial takes place
video6752,video6752.mp4,320_240,312.0,23.976023976023978,a girl is demonstrating a mask
video6560,video6560.mp4,320_240,300.0,25.0,a lady is tasting natural edible foods from the wilderness
video6848,video6848.mp4,320_240,300.0,29.97002997002997,a man explaining about a car
video6720,video6720.mp4,320_240,288.0,23.976023976023978,a chef is demonstrating a new recipe
video6944,video6944.mp4,320_240,330.0,30.0,a cartoon music video about donaldson nephews
video6912,video6912.mp4,320_240,300.0,25.0,a car driving down the road
video6624,video6624.mp4,320_240,600.0,29.97002997002997,a car is shown
video6656,video6656.mp4,320_240,330.0,29.97002997002997,a clip of a football pass for a touchdown
video7008,video7008.mp4,320_240,480.0,29.97002997002997,a man is standing in front of a waterfall while boat passing by
video6528,video6528.mp4,320_240,420.0,29.97002997002997,a man in a white shirt and dark suit jacket is talking about merging living and retail space
video6784,video6784.mp4,320_240,840.0,29.97002997002997,there is a cap man is watching someone
video5249,video5249.mp4,320_240,425.0,25.0,a band is performing a song on stage
video1217,video1217.mp4,320_240,325.0,25.0,a couple photographs of a model
video5985,video5985.mp4,320_240,275.0,25.0,4 of the muppets from the muppet babies are having a conversation
video3265,video3265.mp4,320_240,300.0,29.97002997002997,3 guys talking about if waffle ball or baseball is better
video5633,video5633.mp4,320_240,390.0,29.97002997002997,a baby stroller is being displayed
video1793,video1793.mp4,320_240,250.0,25.0,a badger attacks a lion
video4481,video4481.mp4,320_240,311.0,23.976023976023978,a baby is swimming under water
video4321,video4321.mp4,320_240,250.0,25.0,a band is performing
video4737,video4737.mp4,320_240,359.0,29.97002997002997,a animated chicken is dancing
video4225,video4225.mp4,320_240,360.0,29.97002997002997,a advertisement about something
video737,video737.mp4,320_240,450.0,29.97002997002997,a animal is sitting on the men lap
video2849,video2849.mp4,320_240,320.0,25.0,a animation picture is dancing
video2529,video2529.mp4,320_240,330.0,29.97002997002997,a animated monkey and little girl watch tv on a couch
video5889,video5889.mp4,320_240,432.0,24.0,a boy is drawing a spongebob character
video385,video385.mp4,320_240,275.0,25.0,a little boy is flying a kite
video481,video481.mp4,320_240,300.0,30.0,a bowl is being stirred
video161,video161.mp4,320_240,275.0,25.0,a boat full of people fighting
video4929,video4929.mp4,320_240,624.0,23.976023976023978,a bomb came out of nowhere trapping the person under a hole
video2657,video2657.mp4,320_240,312.0,24.0,a boy sings to a cartoon animal which is playing guitar
video3585,video3585.mp4,320_240,330.0,30.0,a boy shows where metadata is in itunes
video4673,video4673.mp4,320_240,330.0,29.97002997002997,a boy searching for some item
video6369,video6369.mp4,320_240,660.0,30.0,a brown liquid in one container is poured through a strainer into another container
video545,video545.mp4,320_240,300.0,30.0,a bright creature in a bubble bounces through pink stars
video1057,video1057.mp4,320_240,900.0,30.0,a boy is playing a drum set
video3873,video3873.mp4,320_240,300.0,29.916666666666668,a boy is playing with legos
video257,video257.mp4,320_240,425.0,25.0,a boy is grabbing cookies off the shelf
video6465,video6465.mp4,320_240,300.0,25.0,a boy is running away from people
video5505,video5505.mp4,320_240,432.0,23.976023976023978,a band talks to their fans about their social media pages
video3041,video3041.mp4,320_240,300.0,29.97002997002997,a basketball mascot performs a slam dunk
video5473,video5473.mp4,320_240,420.0,30.0,a basketball player dunks the ball
video4289,video4289.mp4,320_240,300.0,30.0,a band preforms a song
video2081,video2081.mp4,320_240,250.0,25.0,a band is performing on stage while images of soldiers are superimposed so the viewer can barely see
video2593,video2593.mp4,320_240,390.0,30.0,a band is recording a song
video4129,video4129.mp4,320_240,510.0,29.97002997002997,a black man dances in a a dance studio
video2753,video2753.mp4,320_240,360.0,23.976023976023978,a black lady yelling
video673,video673.mp4,320_240,510.0,30.0,a blonde woman walks a miniature pony
video3777,video3777.mp4,320_240,300.0,30.0,a bird is seen on the sky
video577,video577.mp4,320_240,510.0,30.0,a bird is flying in a game
video2913,video2913.mp4,320_240,750.0,30.0,a bed is being made
video5153,video5153.mp4,320_240,275.0,25.0,a group of boys are gathering and planning their next move
video3713,video3713.mp4,320_240,330.0,29.97002997002997,a group is dancing
video5185,video5185.mp4,320_240,264.0,23.976023976023978,a group of kids are by the playground dancing and making a video to a song
video4033,video4033.mp4,320_240,330.0,29.97002997002997,a girl is talking about her workouts
video4801,video4801.mp4,320_240,300.0,30.0,a girl is riding a horse in a pasture
video3233,video3233.mp4,320_240,325.0,25.0,a guy in a hat speaks to the camera
video2817,video2817.mp4,320_240,390.0,29.97002997002997,a guy is explaining the purpose of a storyboard
video6145,video6145.mp4,320_240,450.0,29.97002997002997,a guy demonstrates a paper folding technique
video6241,video6241.mp4,320_240,300.0,30.0,a guy showing a t shirt that he made
video3681,video3681.mp4,320_240,330.0,29.97002997002997,a group of people eat sushi
video4385,video4385.mp4,320_240,264.0,23.976023976023978,a guy chops parsley
video2209,video2209.mp4,320_240,288.0,23.976023976023978,a group of people talking paintings
video2881,video2881.mp4,320_240,390.0,29.97002997002997,a group of people walking in a field
video5697,video5697.mp4,320_240,450.0,30.0,a foreign speaking reporter faints on camera during a live segment
video5761,video5761.mp4,320_240,330.0,30.0,a gamer describes his minecraft project
video1345,video1345.mp4,320_240,504.0,24.0,a female providing a speech at an event
video33,video33.mp4,320_240,672.0,23.976023976023978,a female providing a show and tell of recent clothing purchases
video2017,video2017.mp4,320_240,456.0,24.0,a female speaker is giving a speech to a large crowd
video6017,video6017.mp4,320_240,480.0,29.97002997002997,a football game on video game
video1601,video1601.mp4,320_240,384.0,23.976023976023978,a few women talking to each other about a painting
video353,video353.mp4,320_240,408.0,23.976023976023978,a girl is being screamed at
video65,video65.mp4,320_240,350.0,25.0,a girl is performing a song on the voice
video3297,video3297.mp4,320_240,336.0,23.976023976023978,a girl is rapping with olive oil in her hand
video833,video833.mp4,320_240,330.0,29.97002997002997,a girl is explaining about travel bag
video1089,video1089.mp4,320_240,360.0,24.0,a girl applying something on her skin
video4065,video4065.mp4,320_240,420.0,29.97002997002997,a girl group singing on stage
video129,video129.mp4,320_240,330.0,29.97002997002997,a man is in a boat
video5857,video5857.mp4,320_240,288.0,23.976023976023978,a man is holding chopsticks
video3137,video3137.mp4,320_240,720.0,24.0,a man is playing a melody on a piano
video6497,video6497.mp4,320_240,330.0,29.97002997002997,a man gives a talk about how the future occurs
video5825,video5825.mp4,320_240,450.0,29.97002997002997,a man giving a speech
video3425,video3425.mp4,320_240,330.0,29.97,a man is describing a collection of rolls royce
video1985,video1985.mp4,320_240,870.0,29.97002997002997,a players are fighting on stage to win
video5601,video5601.mp4,320_240,390.0,30.0,a person is playing a video game
video6177,video6177.mp4,320_240,420.0,29.97002997002997,a person is holding something
video5441,video5441.mp4,320_240,375.0,25.0,a talk show host is talking to a woman
video2241,video2241.mp4,320_240,300.0,29.97002997002997,a man is talking about deserts
video3105,video3105.mp4,320_240,275.0,25.0,a lion is swatting another animal
video3969,video3969.mp4,320_240,312.0,23.976023976023978,a machine is beating some dough
video1121,video1121.mp4,320_240,330.0,29.97002997002997,a lady whisks an egg
video5121,video5121.mp4,320_240,570.0,30.0,a how to video showing item needed for a project
video961,video961.mp4,320_240,480.0,29.97002997002997,a man describes some vehicle features
video1889,video1889.mp4,320_240,250.0,25.0,a man examines dirt
video1441,video1441.mp4,320_240,450.0,29.97002997002997,a man explaining something
video2689,video2689.mp4,320_240,420.0,29.97002997002997,a male giving a speech about basic tools of technology
video6209,video6209.mp4,320_240,264.0,23.976023976023978,a man and a woman looking at a picture indoors
video3617,video3617.mp4,320_240,419.0,29.97002997002997,a man addressing the media
video1281,video1281.mp4,320_240,336.0,23.976023976023978,a man and a woman are drinking and talking to each other
video929,video929.mp4,320_240,660.0,29.97002997002997,a man changing his oil
video4705,video4705.mp4,320_240,300.0,25.0,a cgi cat is falling out of a fridge and a cgi poodle is headbanging
video1569,video1569.mp4,320_240,300.0,25.0,a cartoon of freddy kruger killing someone
video289,video289.mp4,320_240,240.0,23.976023976023978,a cartoon villain flying around
video3649,video3649.mp4,320_240,352.0,27.038,a cartoon video game is being played
video4257,video4257.mp4,320_240,300.0,29.97002997002997,a circuit board is shown
video1633,video1633.mp4,320_240,240.0,23.976023976023978,a child has sunscreen applied
video5569,video5569.mp4,320_240,420.0,30.0,a chess cartoon game
video3745,video3745.mp4,320_240,275.0,25.0,a child preforms a song on stage
video3457,video3457.mp4,320_240,275.0,25.0,a child singing on stage for the television show the voice
video5793,video5793.mp4,320_240,390.0,29.97002997002997,a child is speaking with the judges on a televised competition
video6337,video6337.mp4,320_240,359.0,29.97002997002997,a car engine is being displayed
video5953,video5953.mp4,320_240,275.0,25.0,a bunch of people hop off a cliff
video1313,video1313.mp4,320_240,288.0,23.976023976023978,a bunch of men are trying indian curry
video4833,video4833.mp4,320_240,570.0,29.97002997002997,a bunch of children dancing
video2113,video2113.mp4,320_240,450.0,30.0,a cafe sign with animals
video2945,video2945.mp4,320_240,250.0,10.0,a cartoon character is sitting in a bubble bath
video5025,video5025.mp4,320_240,264.0,24.0,a cartoon duck delivers mail to a farmer
video2977,video2977.mp4,320_240,360.0,30.0,a cartoon dragon is traveling
video2625,video2625.mp4,320_240,360.0,30.0,a cartoon clip is being played
video1409,video1409.mp4,320_240,312.0,23.976023976023978,a cartoon character gets hit on the head
video3553,video3553.mp4,320_240,510.0,30.0,a cartoon character changing attire
video6433,video6433.mp4,320_240,600.0,30.0,a cartoon character falls into a batch of pumpkins
video193,video193.mp4,320_240,264.0,24.0,a cartoon about word girl
video449,video449.mp4,320_240,275.0,25.0,a cartoon band performing the itsy bitsy spider song
video865,video865.mp4,320_240,288.0,23.976023976023978,a crowd sings
video2049,video2049.mp4,320_240,420.0,30.0,a cut scene from a video game set in a war
video1377,video1377.mp4,320_240,250.0,25.0,a council debates strategy during the vietnam war
video4513,video4513.mp4,320_240,325.0,25.0,a cosmetician speaks to a woman on a bed
video3361,video3361.mp4,320_240,420.0,29.97002997002997,a couple is chatting over lunch at a restaurant
video3489,video3489.mp4,320_240,330.0,30.0,a couple is kissing
video4097,video4097.mp4,320_240,780.0,30.0,a couple is kissing each other
video97,video97.mp4,320_240,510.0,29.97002997002997,a family gathered together in a room
video609,video609.mp4,320_240,336.0,23.976023976023978,a fake helicopter hovers overhead
video5665,video5665.mp4,320_240,300.0,30.0,a father talking to his daughter
